регион,уровень,год,объем_млн_кв_м
Республика Татарстан (Татарстан),регион,2013,2.4
Удмуртская Республика,регион,2013,0.5
Чувашская Республика - Чувашия,регион,2013,0.8
Пермский край,регион,2013,1.0
Кировская область,регион,2013,0.5
Нижегородская область,регион,2013,1.5
Оренбургская область,регион,2013,0.8
Пензенская область,регион,2013,0.8
Самарская область,регион,2013,1.7
Саратовская область,регион,2013,1.3
Ульяновская область,регион,2013,0.6
Уральский федеральный округ,федеральный_округ,2013,6.6
Курганская область,регион,2013,0.3
Свердловская область,регион,2013,1.8
Тюменская область,регион,2013,2.8
Ханты-Мансийский автономный округ - Югра,регион,2013,1.0
Ямало-Ненецкий автономный округ,регион,2013,0.2
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),регион,2013,1.5
Челябинская область,регион,2013,1.8
Сибирский федеральный округ,федеральный_округ,2013,7.3
Республика Алтай,регион,2013,0.1
Республика Тыва,регион,2013,0.1
Республика Хакасия,регион,2013,0.2
Алтайский край,регион,2013,0.7
Красноярский край,регион,2013,1.1
Иркутская область,регион,2013,1.0
Кемеровская область,регион,2013,1.1
Новосибирская область,регион,2013,1.7
Омская область,регион,2013,0.8
Томская область,регион,2013,0.5
Дальневосточный федеральный округ,федеральный_округ,2013,2.9
Республика Бурятия,регион,2013,0.4
Республика Саха (Якутия),регион,2013,0.4
Забайкальский край,регион,2013,0.3
Камчатский край,регион,2013,0.1
Приморский край,регион,2013,0.6
Хабаровский край,регион,2013,0.3
Амурская область,регион,2013,0.4
Магаданская область,регион,2013,0.0
Сахалинская область,регион,2013,0.3
Еврейская автономная область,регион,2013,0.1
Чукотский автономный округ,регион,2013,0.0
Российская Федерация,страна,2014,84.2
Центральный федеральный округ,федеральный_округ,2014,24.5
Белгородская область,регион,2014,1.5
Брянская область,регион,2014,0.6
Владимирская область,регион,2014,0.6
Воронежская область,регион,2014,1.6
Ивановская область,регион,2014,0.3
Калужская область,регион,2014,0.8
Костромская область,регион,2014,0.3
Курская область,регион,2014,0.6
Липецкая область,регион,2014,1.0
Московская область,регион,2014,9.9
Орловская область,регион,2014,0.5
Рязанская область,регион,2014,0.6
Смоленская область,регион,2014,0.4
Тамбовская область,регион,2014,0.8
Тверская область,регион,2014,0.5
Тульская область,регион,2014,0.6
Ярославская область,регион,2014,0.7
Город Москва,регион,2014,3.3
Северо-Западный федеральный округ,федеральный_округ,2014,8.4
Республика Карелия,регион,2014,0.2
Республика Коми,регион,2014,0.2
Архангельская область,регион,2014,0.4
Ненецкий автономный округ,регион,2014,0.03
Архангельская область (кроме Ненецкого автономного округа),регион,2014,0.3
Вологодская область,регион,2014,0.8
Калининградская область,регион,2014,1.1
Ленинградская область,регион,2014,1.8
Мурманская область,регион,2014,0.0
Новгородская область,регион,2014,0.4
Псковская область,регион,2014,0.3
Город Санкт-Петербург,регион,2014,3.3
Южный федеральный округ,федеральный_округ,2014,10.1
Республика Адыгея (Адыгея),регион,2014,0.3
Республика Калмыкия,регион,2014,0.1
Республика Крым,регион,2014,0.6
Краснодарский край,регион,2014,4.8
Астраханская область,регион,2014,0.6
Волгоградская область,регион,2014,1.1
Ростовская область,регион,2014,2.3
Город Севастополь,регион,2014,0.2
Северо-Кавказский федеральный округ,федеральный_округ,2014,5.0
Республика Дагестан,регион,2014,1.6
Республика Ингушетия,регион,2014,0.3
Кабардино-Балкарская Республика,регион,2014,0.3
Карачаево-Черкесская Республика,регион,2014,0.2
Республика Северная Осетия-Алания,регион,2014,0.2
Чеченская Республика,регион,2014,1.1
Ставропольский край,регион,2014,1.3
Приволжский федеральный округ,федеральный_округ,2014,16.9
Республика Башкортостан,регион,2014,2.7
Республика Марий Эл,регион,2014,0.4
Республика Мордовия,регион,2014,0.3
Республика Татарстан (Татарстан),регион,2014,2.4
Удмуртская Республика,регион,2014,0.6
Чувашская Республика - Чувашия,регион,2014,0.9
Пермский край,регион,2014,1.1
Кировская область,регион,2014,0.7
Нижегородская область,регион,2014,1.6
Оренбургская область,регион,2014,1.2
Пензенская область,регион,2014,0.9
Самарская область,регион,2014,1.9
Саратовская область,регион,2014,1.5
Ульяновская область,регион,2014,0.7
Уральский федеральный округ,федеральный_округ,2014,8.0
Курганская область,регион,2014,0.4
Свердловская область,регион,2014,2.4
Тюменская область,регион,2014,3.2
Ханты-Мансийский автономный округ - Югра,регион,2014,1.1
Ямало-Ненецкий автономный округ,регион,2014,0.3
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),регион,2014,1.8
Челябинская область,регион,2014,2.0
Сибирский федеральный округ,федеральный_округ,2014,8.1
Республика Алтай,регион,2014,0.1
Республика Тыва,регион,2014,0.1
Республика Хакасия,регион,2014,0.3
Алтайский край,регион,2014,0.8
Красноярский край,регион,2014,1.2
Иркутская область,регион,2014,0.8
Кемеровская область,регион,2014,1.1
Новосибирская область,регион,2014,2.3
Омская область,регион,2014,0.8
Томская область,регион,2014,0.6
Дальневосточный федеральный округ,федеральный_округ,2014,3.2
Республика Бурятия,регион,2014,0.4
Республика Саха (Якутия),регион,2014,0.5
Забайкальский край,регион,2014,0.4
Камчатский край,регион,2014,0.1
Приморский край,регион,2014,0.7
Хабаровский край,регион,2014,0.4
Амурская область,регион,2014,0.3
Магаданская область,регион,2014,0.01
Сахалинская область,регион,2014,0.3
Еврейская автономная область,регион,2014,0.1
Чукотский автономный округ,регион,2014,0.0
Российская Федерация,страна,2015,85.3
Центральный федеральный округ,федеральный_округ,2015,25.6
Белгородская область,регион,2015,1.6
Брянская область,регион,2015,0.6
Владимирская область,регион,2015,0.6
Воронежская область,регион,2015,1.6
Ивановская область,регион,2015,0.3
Калужская область,регион,2015,0.8
Костромская область,регион,2015,0.3
Курская область,регион,2015,0.6
Липецкая область,регион,2015,1.1
Московская область,регион,2015,9.6
Орловская область,регион,2015,0.5
Рязанская область,регион,2015,0.7
Смоленская область,регион,2015,0.5
Тамбовская область,регион,2015,0.8
Тверская область,регион,2015,0.6
Тульская область,регион,2015,0.8
Ярославская область,регион,2015,0.7
Город Москва,регион,2015,3.9
Северо-Западный федеральный округ,федеральный_округ,2015,9.0
Республика Карелия,регион,2015,0.3
Республика Коми,регион,2015,0.2
Архангельская область,регион,2015,0.4
Ненецкий автономный округ,регион,2015,0.04
Архангельская область (кроме Ненецкого автономного округа),регион,2015,0.4
Вологодская область,регион,2015,0.9
Калининградская область,регион,2015,1.2
Ленинградская область,регион,2015,2.3
Мурманская область,регион,2015,0.0
Новгородская область,регион,2015,0.4
Псковская область,регион,2015,0.4
Город Санкт-Петербург,регион,2015,3.0
Южный федеральный округ,федеральный_округ,2015,9.3
Республика Адыгея (Адыгея),регион,2015,0.3
Республика Калмыкия,регион,2015,0.1
Республика Крым,регион,2015,0.3
Краснодарский край,регион,2015,4.6
Астраханская область,регион,2015,0.6
Волгоградская область,регион,2015,0.9
Ростовская область,регион,2015,2.4
Город Севастополь,регион,2015,0.1
Северо-Кавказский федеральный округ,федеральный_округ,2015,5.0
Республика Дагестан,регион,2015,1.8
Республика Ингушетия,регион,2015,0.3
Кабардино-Балкарская Республика,регион,2015,0.4
Карачаево-Черкесская Республика,регион,2015,0.2
Республика Северная Осетия-Алания,регион,2015,0.2
Чеченская Республика,регион,2015,0.9
Ставропольский край,регион,2015,1.2
Приволжский федеральный округ,федеральный_округ,2015,16.9
Республика Башкортостан,регион,2015,2.7
Республика Марий Эл,регион,2015,0.4
Республика Мордовия,регион,2015,0.3
Республика Татарстан (Татарстан),регион,2015,2.4
Удмуртская Республика,регион,2015,0.6
Чувашская Республика - Чувашия,регион,2015,0.8
Пермский край,регион,2015,1.2
Кировская область,регион,2015,0.7
Нижегородская область,регион,2015,1.3
Оренбургская область,регион,2015,1.2
Пензенская область,регион,2015,0.9
Самарская область,регион,2015,2.2
Саратовская область,регион,2015,1.1
Ульяновская область,регион,2015,0.9
Уральский федеральный округ,федеральный_округ,2015,7.9
Курганская область,регион,2015,0.3
Свердловская область,регион,2015,2.5
Тюменская область,регион,2015,3.4
Ханты-Мансийский автономный округ - Югра,регион,2015,1.0
Ямало-Ненецкий автономный округ,регион,2015,0.3
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),регион,2015,2.1
Челябинская область,регион,2015,1.8
Сибирский федеральный округ,федеральный_округ,2015,8.7
Республика Алтай,регион,2015,0.1
Республика Тыва,регион,2015,0.1
Республика Хакасия,регион,2015,0.3
Алтайский край,регион,2015,0.9
Красноярский край,регион,2015,1.3
Иркутская область,регион,2015,0.9
Кемеровская область,регион,2015,1.0
Новосибирская область,регион,2015,2.6
Омская область,регион,2015,0.8
Томская область,регион,2015,0.7
Дальневосточный федеральный округ,федеральный_округ,2015,2.9
Республика Бурятия,регион,2015,0.4
Республика Саха (Якутия),регион,2015,0.5
Забайкальский край,регион,2015,0.2
Камчатский край,регион,2015,0.1
Приморский край,регион,2015,0.5
Хабаровский край,регион,2015,0.4
Амурская область,регион,2015,0.3
Магаданская область,регион,2015,0.02
Сахалинская область,регион,2015,0.3
Еврейская автономная область,регион,2015,0.1
Чукотский автономный округ,регион,2015,0.0
Российская Федерация,страна,2016,80.2
Центральный федеральный округ,федеральный_округ,2016,24.0
Белгородская область,регион,2016,1.4
Брянская область,регион,2016,0.7
Владимирская область,регион,2016,0.7
Воронежская область,регион,2016,1.7
Ивановская область,регион,2016,0.2
Калужская область,регион,2016,0.7
Костромская область,регион,2016,0.3
Курская область,регион,2016,0.6
Липецкая область,регион,2016,1.1
Московская область,регион,2016,8.9
Орловская область,регион,2016,0.4
Рязанская область,регион,2016,0.7
Смоленская область,регион,2016,0.6
Тамбовская область,регион,2016,0.8
Тверская область,регион,2016,0.5
Тульская область,регион,2016,0.6
Ярославская область,регион,2016,0.8
Город Москва,регион,2016,3.4
Северо-Западный федеральный округ,федеральный_округ,2016,8.9
Республика Карелия,регион,2016,0.3
Республика Коми,регион,2016,0.2
Архангельская область,регион,2016,0.4
Ненецкий автономный округ,регион,2016,0.02
Архангельская область (кроме Ненецкого автономного округа),регион,2016,0.3
Вологодская область,регион,2016,0.8
Калининградская область,регион,2016,1.2
Ленинградская область,регион,2016,2.2
Мурманская область,регион,2016,0.1
Новгородская область,регион,2016,0.4
Псковская область,регион,2016,0.3
Город Санкт-Петербург,регион,2016,3.1
Южный федеральный округ,федеральный_округ,2016,9.0
Республика Адыгея (Адыгея),регион,2016,0.2
Республика Калмыкия,регион,2016,0.1
Республика Крым,регион,2016,0.3
Краснодарский край,регион,2016,4.5
Астраханская область,регион,2016,0.6
Волгоградская область,регион,2016,0.8
Ростовская область,регион,2016,2.3
Город Севастополь,регион,2016,0.2
Северо-Кавказский федеральный округ,федеральный_округ,2016,5.0
Республика Дагестан,регион,2016,1.9
Республика Ингушетия,регион,2016,0.3
Кабардино-Балкарская Республика,регион,2016,0.4
Карачаево-Черкесская Республика,регион,2016,0.2
Республика Северная Осетия-Алания,регион,2016,0.2
Чеченская Республика,регион,2016,1.0
Ставропольский край,регион,2016,1.1
Приволжский федеральный округ,федеральный_округ,2016,16.2
Республика Башкортостан,регион,2016,2.7
Республика Марий Эл,регион,2016,0.5
Республика Мордовия,регион,2016,0.3
Республика Татарстан (Татарстан),регион,2016,2.4
Удмуртская Республика,регион,2016,0.7
Чувашская Республика - Чувашия,регион,2016,0.6
Пермский край,регион,2016,1.1
Кировская область,регион,2016,0.7
Нижегородская область,регион,2016,1.3
Оренбургская область,регион,2016,1.0
Пензенская область,регион,2016,0.9
Самарская область,регион,2016,1.9
Саратовская область,регион,2016,1.3
Ульяновская область,регион,2016,1.0
Уральский федеральный округ,федеральный_округ,2016,6.4
Курганская область,регион,2016,0.3
Свердловская область,регион,2016,2.1
Тюменская область,регион,2016,2.7
Ханты-Мансийский автономный округ - Югра,регион,2016,0.7
Ямало-Ненецкий автономный округ,регион,2016,0.2
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),регион,2016,1.7
Челябинская область,регион,2016,1.3
Сибирский федеральный округ,федеральный_округ,2016,8.0
Республика Алтай,регион,2016,0.1
Республика Тыва,регион,2016,0.1
Республика Хакасия,регион,2016,0.2
Алтайский край,регион,2016,0.8
Красноярский край,регион,2016,1.4
Иркутская область,регион,2016,0.9
Кемеровская область,регион,2016,1.1
Новосибирская область,регион,2016,2.2
Омская область,регион,2016,0.8
Томская область,регион,2016,0.5
Дальневосточный федеральный округ,федеральный_округ,2016,2.8
Республика Бурятия,регион,2016,0.3
Республика Саха (Якутия),регион,2016,0.6
Забайкальский край,регион,2016,0.3
Камчатский край,регион,2016,0.1
Приморский край,регион,2016,0.5
Хабаровский край,регион,2016,0.4
Амурская область,регион,2016,0.2
Магаданская область,регион,2016,0.01
Сахалинская область,регион,2016,0.3
Еврейская автономная область,регион,2016,0.1
Чукотский автономный округ,регион,2016,0.0
Российская Федерация,страна,2017,79.2
Центральный федеральный округ,федеральный_округ,2017,24.3
Белгородская область,регион,2017,1.3
Брянская область,регион,2017,0.6
Владимирская область,регион,2017,0.7
Воронежская область,регион,2017,1.7
Ивановская область,регион,2017,0.3
Калужская область,регион,2017,0.9
Костромская область,регион,2017,0.3
Курская область,регион,2017,0.6
Липецкая область,регион,2017,1.1
Московская область,регион,2017,9.1
Орловская область,регион,2017,0.3
Рязанская область,регион,2017,0.7
Смоленская область,регион,2017,0.5
Тамбовская область,регион,2017,0.8
Тверская область,регион,2017,0.6
Тульская область,регион,2017,0.7
Ярославская область,регион,2017,0.8
Город Москва,регион,2017,3.4
Северо-Западный федеральный округ,федеральный_округ,2017,9.0
Республика Карелия,регион,2017,0.2
Республика Коми,регион,2017,0.2
Архангельская область,регион,2017,0.4
Ненецкий автономный округ,регион,2017,0.0
Архангельская область (кроме Ненецкого автономного округа),регион,2017,0.4
Вологодская область,регион,2017,0.5
Калининградская область,регион,2017,0.9
Ленинградская область,регион,2017,2.6
Мурманская область,регион,2017,0.1
Новгородская область,регион,2017,0.2
Псковская область,регион,2017,0.2
Город Санкт-Петербург,регион,2017,3.5
Южный федеральный округ,федеральный_округ,2017,9.6
Республика Адыгея (Адыгея),регион,2017,0.2
Республика Калмыкия,регион,2017,0.1
Республика Крым,регион,2017,0.8
Краснодарский край,регион,2017,4.7
Астраханская область,регион,2017,0.5
Волгоградская область,регион,2017,0.7
Ростовская область,регион,2017,2.3
Город Севастополь,регион,2017,0.2
Северо-Кавказский федеральный округ,федеральный_округ,2017,5.1
Республика Дагестан,регион,2017,2.0
Республика Ингушетия,регион,2017,0.3
Кабардино-Балкарская Республика,регион,2017,0.4
Карачаево-Черкесская Республика,регион,2017,0.2
Республика Северная Осетия-Алания,регион,2017,0.2
Чеченская Республика,регион,2017,1.1
Ставропольский край,регион,2017,0.9
Приволжский федеральный округ,федеральный_округ,2017,15.6
Республика Башкортостан,регион,2017,2.5
Республика Марий Эл,регион,2017,0.5
Республика Мордовия,регион,2017,0.3
Республика Татарстан (Татарстан),регион,2017,2.4
Удмуртская Республика,регион,2017,0.7
Чувашская Республика - Чувашия,регион,2017,0.6
Пермский край,регион,2017,1.1
Кировская область,регион,2017,0.5
Нижегородская область,регион,2017,1.3
Оренбургская область,регион,2017,0.9
Пензенская область,регион,2017,0.9
Самарская область,регион,2017,1.8
Саратовская область,регион,2017,1.2
Ульяновская область,регион,2017,1.0
Уральский федеральный округ,федеральный_округ,2017,6.3
Курганская область,регион,2017,0.3
Свердловская область,регион,2017,2.1
Тюменская область,регион,2017,2.5
Ханты-Мансийский автономный округ - Югра,регион,2017,0.8
Ямало-Ненецкий автономный округ,регион,2017,0.2
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),регион,2017,1.4
Челябинская область,регион,2017,1.4
Сибирский федеральный округ,федеральный_округ,2017,6.8
Республика Алтай,регион,2017,0.1
Республика Тыва,регион,2017,0.1
Республика Хакасия,регион,2017,0.2
Алтайский край,регион,2017,0.6
Красноярский край,регион,2017,1.1
Иркутская область,регион,2017,1.0
Кемеровская область,регион,2017,1.0
Новосибирская область,регион,2017,1.7
Омская область,регион,2017,0.5
Томская область,регион,2017,0.5
Дальневосточный федеральный округ,федеральный_округ,2017,2.5
Республика Бурятия,регион,2017,0.3
Республика Саха (Якутия),регион,2017,0.6
Забайкальский край,регион,2017,0.3
Камчатский край,регион,2017,0.1
Приморский край,регион,2017,0.4
Хабаровский край,регион,2017,0.3
Амурская область,регион,2017,0.2
Магаданская область,регион,2017,0.0
Сахалинская область,регион,2017,0.3
Еврейская автономная область,регион,2017,0.1
Чукотский автономный округ,регион,2017,0.0
Российская Федерация,страна,2018,75.7
Центральный федеральный округ,федеральный_округ,2018,23.4
Белгородская область,регион,2018,1.2
Брянская область,регион,2018,0.4
Владимирская область,регион,2018,0.7
Воронежская область,регион,2018,1.7
Ивановская область,регион,2018,0.4
Калужская область,регион,2018,0.8
Костромская область,регион,2018,0.2
Курская область,регион,2018,0.6
Липецкая область,регион,2018,0.9
Московская область,регион,2018,8.9
Орловская область,регион,2018,0.3
Рязанская область,регион,2018,0.8
Смоленская область,регион,2018,0.4
Тамбовская область,регион,2018,0.9
Тверская область,регион,2018,0.4
Тульская область,регион,2018,0.7
Ярославская область,регион,2018,0.8
Город Москва,регион,2018,3.5
Северо-Западный федеральный округ,федеральный_округ,2018,9.5
Республика Карелия,регион,2018,0.3
Республика Коми,регион,2018,0.3
Архангельская область,регион,2018,0.3
Ненецкий автономный округ,регион,2018,0.0
Архангельская область (кроме Ненецкого автономного округа),регион,2018,0.3
Вологодская область,регион,2018,0.5
Калининградская область,регион,2018,0.9
Ленинградская область,регион,2018,2.6
Мурманская область,регион,2018,0.0
