цена,комнат,площадь,жилая_площадь,площадь_кухни,этаж,этажность_дома,тип_рынка,отделка,регион,станция_метро,минут_до_метро
14500000.0,3.0,66.18,35.6,12.1,3.0,15,Новостройка,Косметический ремонт,Москва,Варшавская,6.0
22800000.0,5.0,107.75,56.6,15.6,3.0,15,Новостройка,Евроремонт,Москва,Варшавская,6.0
13228800.0,3.0,78.0,44.0,12.5,6.0,14,Новостройка,Косметический ремонт,Московская область,Зябликово,9.0
5653060.0,1.0,29.8,13.1,5.8,13.0,14,Новостройка,Косметический ремонт,Московская область,Зябликово,9.0
7425600.0,2.0,47.6,30.8,6.1,14.0,14,Новостройка,Косметический ремонт,Московская область,Зябликово,9.0
7345930.0,1.0,35.3,10.1,17.0,4.0,17,Новостройка,Косметический ремонт,Московская область,Котельники,8.0
9285280.0,3.0,52.4,36.2,3.4,13.0,17,Новостройка,Косметический ремонт,Московская область,Котельники,8.0
11715000.0,3.0,78.1,40.9,22.5,16.0,17,Новостройка,Косметический ремонт,Московская область,Котельники,7.0
7996680.0,1.0,38.8,11.1,18.1,7.0,17,Новостройка,Косметический ремонт,Московская область,Котельники,8.0
8436710.0,1.0,44.9,13.2,21.2,13.0,17,Новостройка,Косметический ремонт,Московская область,Котельники,17.0
7195925.0,3.0,61.04,35.4,5.8,14.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,16.0
9421203.0,3.0,72.19,44.5,10.3,3.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,12.0
6122764.0,2.0,49.13,20.7,9.5,6.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,16.0
6686434.0,3.0,59.14,38.2,6.4,9.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,16.0
8418468.0,3.0,58.3,39.5,5.5,14.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,16.0
6714184.0,3.0,58.3,39.5,5.5,12.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,16.0
8214852.0,3.0,58.17,39.4,5.5,4.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,16.0
6162859.0,2.0,46.89,28.5,5.4,6.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,16.0
8862986.0,3.0,58.31,38.1,4.7,9.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,16.0
7210758.0,3.0,61.04,35.4,5.8,10.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,16.0
4809656.0,1.0,33.88,14.8,10.9,14.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,11.0
4837875.0,0.0,26.04,16.1,8.8,15.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,11.0
3942589.0,0.0,25.04,16.2,8.7,12.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,11.0
4002435.0,0.0,25.04,16.2,8.7,16.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,11.0
4970551.0,2.0,35.7,23.5,3.9,11.0,14,Новостройка,Косметический ремонт,Московская область,Жулебино,14.0
6073588.0,2.0,42.45,26.0,8.3,11.0,14,Новостройка,Косметический ремонт,Московская область,Жулебино,14.0
7531765.0,3.0,53.91,34.8,5.0,9.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,11.0
6034783.0,2.0,44.44,27.3,5.0,12.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,11.0
7091659.0,3.0,51.2,33.1,6.4,15.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,11.0
8761029.0,4.0,69.53,46.9,5.0,11.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,11.0
5340657.0,1.0,33.88,14.8,10.9,12.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,11.0
4756418.0,2.0,35.68,22.7,5.0,15.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,11.0
14461890.0,3.0,71.7,36.5,20.8,10.0,11,Новостройка,Косметический ремонт,Москва,Депо,13.0
7567849.0,2.0,60.6,32.8,11.7,9.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,5.0
8284020.0,2.0,60.6,32.8,11.7,14.0,14,Новостройка,Косметический ремонт,Московская область,Зябликово,9.0
6511460.0,1.0,42.2,23.5,10.1,13.0,14,Новостройка,Косметический ремонт,Московская область,Зябликово,9.0
6207672.0,1.0,42.6,23.7,10.2,4.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,5.0
6240071.0,1.0,41.8,23.3,10.1,13.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,5.0
6251124.0,1.0,42.6,23.7,10.2,7.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,5.0
7089257.0,3.0,55.75,37.4,5.4,14.0,14,Новостройка,Косметический ремонт,Московская область,Жулебино,14.0
5963911.0,2.0,36.44,20.6,9.7,4.0,15,Новостройка,Косметический ремонт,Московская область,Домодедовская,8.0
8570111.0,2.0,46.59,22.5,10.4,8.0,15,Новостройка,Косметический ремонт,Московская область,Домодедовская,8.0
4075971.0,0.0,25.05,11.8,4.1,12.0,14,Новостройка,Косметический ремонт,Московская область,Жулебино,14.0
5313663.0,2.0,42.32,28.0,6.1,10.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,11.0
3600000.0,1.0,40.06,20.0,10.0,4.0,17,Новостройка,Косметический ремонт,Московская область,Котельники,30.0
2540000.0,0.0,20.17,12.3,14.2,3.0,9,Новостройка,Косметический ремонт,Московская область,Битца,12.0
4790000.0,0.0,24.4,12.0,4.0,3.0,15,Новостройка,Косметический ремонт,Московская область,Домодедовская,20.0
7040000.0,1.0,38.9,21.8,9.9,4.0,9,Новостройка,Косметический ремонт,Московская область,Битца,12.0
7330000.0,1.0,40.5,22.6,10.0,5.0,9,Новостройка,Косметический ремонт,Московская область,Битца,12.0
5002000.0,0.0,24.4,14.5,8.7,3.0,9,Новостройка,Косметический ремонт,Московская область,Битца,12.0
7320000.0,1.0,39.8,22.3,9.9,6.0,9,Новостройка,Косметический ремонт,Московская область,Битца,12.0
16110000.0,2.0,127.6,66.6,17.2,7.0,9,Новостройка,Косметический ремонт,Московская область,Битца,12.0
19020000.0,2.0,171.0,88.6,20.8,7.0,9,Новостройка,Евроремонт,Московская область,Битца,12.0
11900000.0,2.0,83.0,44.1,13.5,5.0,9,Новостройка,Косметический ремонт,Московская область,Битца,12.0
7990000.0,2.0,48.5,26.7,10.7,6.0,9,Новостройка,Косметический ремонт,Московская область,Битца,12.0
6740000.0,1.0,40.4,22.6,10.0,2.0,9,Новостройка,Косметический ремонт,Московская область,Битца,12.0
9310000.0,2.0,60.7,32.8,11.7,2.0,9,Новостройка,Косметический ремонт,Московская область,Битца,12.0
10870000.0,2.0,77.0,41.1,13.0,7.0,9,Новостройка,Косметический ремонт,Московская область,Битца,12.0
11130000.0,3.0,79.3,42.2,13.2,2.0,9,Новостройка,Косметический ремонт,Московская область,Битца,12.0
11920000.0,3.0,81.5,43.3,13.4,5.0,9,Новостройка,Косметический ремонт,Московская область,Битца,12.0
13040000.0,3.0,88.2,46.7,13.9,1.0,9,Новостройка,Косметический ремонт,Московская область,Битца,12.0
9620000.0,2.0,65.2,35.1,12.0,5.0,9,Новостройка,Косметический ремонт,Московская область,Битца,12.0
9610000.0,2.0,67.5,36.3,12.2,6.0,9,Новостройка,Косметический ремонт,Московская область,Битца,12.0
9760000.0,2.0,66.5,35.8,12.1,2.0,9,Новостройка,Косметический ремонт,Московская область,Битца,12.0
9790000.0,2.0,64.9,34.9,12.0,5.0,9,Новостройка,Косметический ремонт,Московская область,Битца,12.0
11860000.0,3.0,81.6,43.4,13.4,6.0,9,Новостройка,Косметический ремонт,Московская область,Битца,12.0
9460000.0,2.0,63.5,34.2,11.9,3.0,9,Новостройка,Косметический ремонт,Московская область,Битца,12.0
10760000.0,2.0,73.9,39.5,12.8,3.0,9,Новостройка,Косметический ремонт,Московская область,Битца,12.0
11740000.0,3.0,81.8,43.5,13.4,4.0,9,Новостройка,Косметический ремонт,Московская область,Битца,12.0
7170000.0,1.0,47.2,26.0,10.5,4.0,9,Новостройка,Косметический ремонт,Московская область,Битца,12.0
7340000.0,1.0,43.2,24.0,10.2,6.0,9,Новостройка,Косметический ремонт,Московская область,Битца,12.0
9520000.0,2.0,65.5,35.2,12.1,6.0,9,Новостройка,Косметический ремонт,Московская область,Битца,12.0
12430000.0,2.0,89.0,47.1,14.0,8.0,9,Новостройка,Косметический ремонт,Московская область,Битца,12.0
7780000.0,2.0,50.1,27.5,10.8,5.0,9,Новостройка,Косметический ремонт,Московская область,Битца,12.0
10130000.0,2.0,70.0,37.5,12.4,7.0,9,Новостройка,Косметический ремонт,Московская область,Битца,12.0
7350000.0,1.0,39.9,22.3,9.9,5.0,9,Новостройка,Косметический ремонт,Московская область,Битца,12.0
5054775.0,0.0,27.85,14.0,5.0,14.0,14,Новостройка,Косметический ремонт,Московская область,Жулебино,8.0
5381076.0,1.0,33.88,14.8,10.9,14.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,11.0
4406931.0,0.0,25.05,11.8,4.1,11.0,14,Новостройка,Косметический ремонт,Московская область,Жулебино,14.0
8100000.0,1.0,40.7,17.1,10.0,10.0,14,Новостройка,Косметический ремонт,Московская область,Зябликово,8.0
12200000.0,2.0,63.9,34.4,12.7,10.0,14,Новостройка,Косметический ремонт,Московская область,Зябликово,8.0
10200000.0,2.0,62.4,33.7,12.6,4.0,14,Новостройка,Косметический ремонт,Московская область,Зябликово,8.0
12800000.0,1.0,40.2,13.0,19.0,14.0,20,Новостройка,Косметический ремонт,Москва,Красногвардейская,5.0
7785120.0,2.0,66.2,35.6,12.1,8.0,17,Новостройка,Косметический ремонт,Московская область,Котельники,9.0
19499000.0,3.0,88.5,45.0,22.0,6.0,10,Новостройка,Евроремонт,Москва,Каширская,4.0
7979991.0,3.0,62.91,36.4,10.2,7.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,12.0
9603028.0,3.0,67.4,36.2,12.2,11.0,14,Новостройка,Косметический ремонт,Московская область,Зябликово,9.0
8799726.0,2.0,54.2,29.5,11.1,7.0,14,Новостройка,Косметический ремонт,Московская область,Зябликово,7.0
10525091.0,3.0,75.4,40.3,12.9,11.0,14,Новостройка,Косметический ремонт,Московская область,Зябликово,7.0
7260000.0,1.0,40.2,22.5,10.0,2.0,9,Новостройка,Косметический ремонт,Московская область,Битца,12.0
6138248.0,1.0,46.7,25.7,10.5,2.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,5.0
6185882.0,1.0,46.7,25.7,10.5,5.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,5.0
5660655.0,1.0,42.9,23.8,10.2,2.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,5.0
6664980.0,2.0,52.5,28.7,11.0,9.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,5.0
7112060.0,2.0,57.5,31.2,11.4,10.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,5.0
7901700.0,2.0,60.0,32.5,11.6,9.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,5.0
10008517.0,3.0,82.9,44.0,13.5,4.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,5.0
6207672.0,1.0,42.6,23.7,10.2,4.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,5.0
6251124.0,1.0,42.6,23.7,10.2,7.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,5.0
7528831.0,2.0,59.4,32.2,11.6,7.0,20,Новостройка,Косметический ремонт,Московская область,Красногвардейская,5.0
8424720.0,1.0,36.0,14.5,10.0,1.0,14,Новостройка,Косметический ремонт,Московская область,Зябликово,9.0
12362070.0,2.0,64.5,34.6,14.1,3.0,14,Новостройка,Косметический ремонт,Московская область,Зябликово,9.0
9111450.0,2.0,43.7,25.1,7.4,5.0,14,Новостройка,Косметический ремонт,Московская область,Зябликово,9.0
8355108.0,1.0,35.4,14.5,10.0,10.0,14,Новостройка,Косметический ремонт,Московская область,Зябликово,9.0
9133300.0,2.0,43.7,25.1,7.4,11.0,14,Новостройка,Косметический ремонт,Московская область,Зябликово,9.0
